NAME,ADDRESS,CATEGORY,DESCRIPTION,COUNTY,LATITUDE,LONGITUDE,RATING
"Mountain Flat Brasov","Strada Prundului 43 500123 Brașov","Hotel","N/A","Brașov",45.63686,25.5822,0
"Poliția Poiana Brașov","Strada Poiana Soarelui 500001 Brașov","Police Station","N/A","Brașov",45.59366,25.55322,0
"Sport Hotel Poiana Brasov","500001 Brașov","Hotel","N/A","Brașov",45.5924,25.55686,0
"Hotel Rina Vista","500001 Brașov","Hotel","N/A","Brașov",45.59604,25.54919,0
"Coliba Haiducilor","Strada Drumul Sulinar 500001 Brașov","Restaurant","N/A","Brașov",45.58902,25.55438,0
"Drachenhaus Poiana Brasov","Strada Poiana Ruia 1 500001 Brașov","Hotel","N/A","Brașov",45.59792,25.55255,0
"Pensiunea Mountain King","507267 Sâmbăta de Sus","Accommodation","N/A","Brașov",45.6953,24.80452,0
"poblana near Mountain Villa, Brașov, ROU","N/A","undefined","N/A","Brașov",45.59524,25.55703,0
"poblana near Mountain Flat Brasov, Brașov, ROU","N/A","undefined","N/A","Brașov",45.63686,25.5822,0
"Poiana Brașov mountain resort.","Brașov, Romania","Attraction","Poiana Brașov (Romanian pronunciation: [poˈjana braˈʃov]) is a neighborhood of Brasov and a Romanian ski resort popular among visitors from many European states. After the 2010s modernization, the ski area has expanded from 50 hectares to 80 hectares and the slopes length was increased from 13.8 km to 23.9 km. most slopes now have snow cannons installed. In 2013, it hosted figure skating, alpine skiing and short track in the European Youth Olympic Winter Festival.","Brașov",45.60504826315789,25.515876947368426,0
"Hotel Resort Hart","505303 Predeal","Hotel","N/A","Brașov",45.52566,25.57151,0
"Predeal","Strada Muncii 6 505300 Predeal","Hotel","N/A","Brașov",45.506289,25.580555,0
"Complex Eden","Strada Neagoe Basarab 7 505300 Predeal","Hotel","N/A","Brașov",45.51072,25.59105,0
"Atrium Hotel Mountain View Predeal","Strada Tudor Vladimirescu 24 505300 Predeal","Hotel","N/A","Brașov",45.50087,25.5792,0
"Mountain Sanctuary","Strada Avram Iancu 505300 Predeal","Accommodation","N/A","Brașov",45.51104,25.57269,0
"Mountain Saloon","Bulevardul Mihail Săulescu 505300 Predeal","Restaurant","N/A","Brașov",45.50241,25.57428,0
"Gara Predeal","505300 Predeal","Railway Station","N/A","Brașov",45.50535,25.57493,0
"Primaria Predeal","Bulevardul Mihail Săulescu 127 505300 Predeal","Government or Community Facility","N/A","Brașov",45.50794,25.57373,0
"Clăbucet","Strada Teleferic 505300 Predeal","Sport Facility/Venue","N/A","Brașov",45.49922,25.5766,0
"Mountain Saloon","Șoseaua Predeal (Soseaua Predeal) Râșnov","Restaurant","N/A","Brașov",45.57301,25.45581,0
"Hotel Belvedere Predeal","Bulevardul Libertății 102 505300 Predeal","Hotel","N/A","Brașov",45.51039,25.59222,0
"Pension Regina","Bulevardul Mihail Săulescu 113 505300 Predeal","Accommodation","N/A","Brașov",45.501,25.57408,0
"Manastirea Predeal","Strada Mănăstirii Predeal","Religious Place","N/A","Brașov",45.48812,25.5683,0
"Klass Predeal","Strada Teleferic 1 505300 Predeal","Hotel","N/A","Brașov",45.49968,25.57859,0
"Predeal Comfort Suites","Strada Trei Brazi 33 505300 Predeal","Hotel","N/A","Brașov",45.51078,25.56688,0
"La Fontanella","Bulevardul Mihail Săulescu 505300 Predeal","Snacks/Fast food","N/A","Brașov",45.50072,25.57405,0
"Cabana Vanatorilor","Strada Trei Brazi 3 505300 Predeal","Accommodation","N/A","Brașov",45.50939,25.56662,0
"Hotel Bulevard Predeal","Bulevardul Mihail Săulescu 129 505300 Predeal","Hotel","N/A","Brașov",45.50868,25.57395,0
"Hotel Hera","Strada Trei Brazi 12 505300 Predeal","Hotel","N/A","Brașov",45.51184,25.56896,0
"Orizont Hotel","6 Predeal","Hotel","N/A","Brașov",45.511494,25.570552,0
"Predeal mountain resort.","Brașov, Romania","Attraction","","Brașov",45.50973015,25.569227850000004,0
"Bran with its castle often referred to as Dracula's castle.","Brașov, Romania","Attraction","Bran Castle (Romanian: Castelul Bran; German: Törzburg; Hungarian: Törcsvár), situated near Bran and in the immediate vicinity of Brașov, is a national monument and landmark in Romania. The fortress is situated on the border between Transylvania and Wallachia, on DN73.","Brașov",0,0,0
"The Făgăraș Mountains.","Brașov, Romania","Attraction","Făgăraș Mountains (Romanian: Munții Făgărașului [ˈmunt͡sij fəɡəˈraʃuluj] , Hungarian: Fogaras hegység [ˈfoɡɒrɒʃ hɛɟˈʃeːɡ]), are the highest mountains of the Southern Carpathians, in Romania. The highest peaks are:","Brașov",0,0,0
"The medieval fortresses of Făgăraș and Râșnov.","Brașov, Romania","Attraction","The page Medieval fortresses of făgăraș and râșnov does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Brașov",0,0,0
"The Fortified churches from the Saxon villages in the Burzenland area.","Brașov, Romania","Attraction","The page Fortified churches from saxon villages does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Brașov",0,0,0
"Brăila","Strada Siretului Brăila","Railway Station","N/A","Brăila",45.28122,27.95631,0
"Of. Poștal de Distribuire Brăila","Strada General Eremia Grigorescu 25 810073 Brăila","Post Office","N/A","Brăila",45.2804,27.9568,0
"Medieval City of Sibiu","Piața Mare 12 550163 Sibiu","Sights & Museums","N/A","Brăila",45.79653,24.15249,0
"Promenada Mall Brăila","817025 Chișcani","Shopping Centre","N/A","Brăila",45.22908,27.93738,0
"Braila Mall","817025 Chișcani","Shopping Centre","N/A","Brăila",45.22987,27.93745,0
"The city of Brăila.","Brăila, Romania","Attraction","Brăila (Romanian pronunciation: [brəˈila] (listen); Greek: Βράιλα; Turkish: İbrail) is a city in Muntenia, eastern Romania, a port on the Danube and the capital of Brăila County. The Sud-Est Regional Development Agency is located in Brăila.","Brăila",45.363420000000005,27.188086,0
"Lacu Sărat","Chișcani","Administrative Region","N/A","Brăila",45.21722,27.89186,0
"Lacu Sărat","Pomezeu","Administrative Region","N/A","Brăila",46.80099,22.35628,0
"Gara Lacu Sărat","DC8 817025 Chișcani","Railway Station","N/A","Brăila",45.22625,27.86713,0
"Stațiunea Lacu Sărat","Chișcani","Administrative Region","N/A","Brăila",45.21579,27.91714,0
"Mănăstirea Lacu Sărat","Aleea Mânăstirii 817026 Chișcani","Religious Place","N/A","Brăila",45.21493,27.91522,0
"Plaja Lacu Sărat","Aleea Plajelor 817026 Chișcani","Sights & Museums","N/A","Brăila",45.21623,27.91593,0
"Centrul de Agrement Lacu Sărat","Aleea Mânăstirii 817026 Chișcani","Sights & Museums","N/A","Brăila",45.21449,27.91213,0
"Jandarmeria Lacu Sărat","Aleea Stejarului 817026 Chișcani","Government or Community Facility","N/A","Brăila",45.21427,27.9101,0
"Stațiunea Balneară Lacu Sărat","Aleea Centrală 817026 Chișcani","Hospital or Healthcare Facility","N/A","Brăila",45.21553,27.915,0
"Căm. Pt. Pers. Vârstnice Lacu Sărat","Aleea Centrală 817026 Chișcani","Hospital or Healthcare Facility","N/A","Brăila",45.21604,27.91934,0
"Lac de Verde - Golf & Leisure Resort","Strada Carierei 44 105401 Breaza","Hotel","N/A","Brăila",45.17248,25.65731,0
"Parcare Stațiunea Lacu Sărat","817026 Chișcani","Parking Facility","N/A","Brăila",45.21682,27.92096,0
"Caffe Bar Lacu Sarat","Strada Principală 817026 Chișcani","Bar/Pub","N/A","Brăila",45.216314,27.89031,0
"Restaurant Lacu Sarat","Aleea Centrală 817026 Chișcani","Restaurant","N/A","Brăila",45.215148,27.91212,0
"Vila Nufărul","Aleea Centrală 817026 Chișcani","Accommodation","N/A","Brăila",45.21531,27.91361,0
"The Lacu Sărat [ro] Resort.","Brăila, Romania","Attraction","N/A","Brăila",45.319187466666676,27.387629333333333,0
"Buzău","Bulevardul 1 Decembrie 1918 Buzău","Railway Station","N/A","Buzău",45.14322,26.82577,0
"Primăria Buzău","Strada Sfântul Sava Gotul 120188 Buzău","Government or Community Facility","N/A","Buzău",45.15341,26.82098,0
"Buzău","Șoseaua De Centură 1 Buzău","Restaurant","N/A","Buzău",45.160256,26.78594,0
"School Of Beauty Buzau","Strada Plevnei 120218 Buzău","Service","N/A","Buzău",45.14378,26.82351,0
"Kaufland","Buzău","Food & Drink","N/A","Buzău",45.16201,26.8203,0
"The city of Buzău.","Buzău, Romania","Attraction","N/A","Buzău",45.1525352,26.815299999999997,0
"The Vrancea Mountains and Buzău Mountains.","Buzău, Romania","Attraction","N/A","Buzău",0,0,0
"Berca Mud Volcanoes","127555 Scorțoasa","Sights & Museums","N/A","Buzău",45.35992,26.71407,0
"Berca Romania Mud Volcanoes","Buzău","Tourist Information","N/A","Buzău",45.162483,26.818314,0
"The Berca Mud Volcanoes","Buzău, Romania","Attraction","The page Berca mud volcanoes does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Buzău",45.2612015,26.766192,0
"The amber museum in Colți","Buzău, Romania","Attraction","The page Amber museum in colți does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Buzău",0,0,0
"The Ciolanu Monastery and the Măgura sculpture camp","Buzău, Romania","Attraction","Măgura is a commune in the Buzău County of Romania, located on the right bank of the Buzău River, in the hillside next to the Carpathian Mountains' curvature. It is composed of two villages, Ciuta and Măgura. It also included Ojasca and Unguriu villages from 1968 until 2004, when these were split off to form Unguriu Commune.","Buzău",0,0,0
"Ratesti Monastery","Strada Principală 127121 C.A. Rosetti","Religious Place","N/A","Buzău",45.008001,27.1467,0
"The Rătești Monastery","Buzău, Romania","Attraction","N/A","Buzău",45.008001,27.1467,0
"The Amara Resort.","Buzău, Romania","Attraction","N/A","Buzău",0,0,0
"Sărata-Monteoru","Merei","Administrative Region","N/A","Buzău",45.1446,26.64513,0
"Sărata Monteoru","Strada Principală 127366 Merei","Sights & Museums","N/A","Buzău",45.14597,26.64264,0
"Oficiul Poștal Sărata-Monteoru","Strada Principală 127366 Merei","Post Office","N/A","Buzău",45.14647,26.6417,0
"Casa David - Sarata Monteoru","Strada Principală 127366 Merei","Hotel","N/A","Buzău",45.144392,26.645822,0
"Vila Olga - Sarata Monteoru","Merei","Accommodation","N/A","Buzău",45.14699,26.64857,0
"Salt Water Swimming Pool","Merei","Sport Facility/Venue","N/A","Buzău",45.14969,26.63573,0
"Ski Vidra Transalpina","DJ701D 247750 Voineasa","Leisure & Outdoor","N/A","Buzău",45.42245,23.69544,0
"Hotel Casino in Sarata Monteoru","127366 Merei","Hotel","N/A","Buzău",45.148713,26.633199,0
"Coresi Shopping Resort","Strada Zaharia Stancu 1 Brașov","Shopping Centre","N/A","Buzău",45.67195,25.61633,0
"Resort Ambient","Strada Nucilor 507055 Cristian","Hotel","N/A","Buzău",45.62642,25.47894,0
"Resort David","117630 Rucăr","Hotel","N/A","Buzău",45.38622,25.18005,0
"Pension Natura","557190 Porumbacu de Jos","Accommodation","N/A","Buzău",45.676872,24.452483,0
"Mistral Resort Moieciu","Strada Valea Băngăleasa 507134 Moieciu","Accommodation","N/A","Buzău",45.42302,25.36299,0
"Alpin Hotel Resort & Spa","500001 Brașov","Hotel","N/A","Buzău",45.59626,25.55132,0
"Grand Hotel Balvanyos (Balvanyos Resort)","DJ113 527160 Turia","Hotel","N/A","Buzău",46.11676,25.9423,0
"Cheile Gradistei","507131 Moieciu","Hotel","N/A","Buzău",45.46372,25.30413,0
"Cheile Gradistei Fundata","Fundata","Hotel","N/A","Buzău",45.4515,25.2997,0
"Valea Verde Resort","Strada Principală 119 547057 Bahnea","Accommodation","N/A","Buzău",46.26921,24.51006,0
"Piatra Mare Hotel Resort","500001 Brașov","Hotel","N/A","Buzău",45.59483,25.54803,0
"The Sărata-Monteoru Resort.","Buzău, Romania","Attraction","N/A","Buzău",45.45926510526316,25.707082315789467,0
"Calarasi (Călărași)","Romania","City, Town or Village","N/A","Călărași",44.19657,27.3354,0
"Călărași","Cluj","City, Town or Village","N/A","Călărași",46.48551,23.85567,0
"Călărași","Dolj","City, Town or Village","N/A","Călărași",43.79224,24.04463,0
"Călărași","Moldova","City, Town or Village","N/A","Călărași",47.24362,28.31385,0
"Primăria Călărași","407130 Călărași","Government or Community Facility","N/A","Călărași",46.48404,23.85407,0
"Călăraşi Turda Hm.","DC68 407132 Călărași","Railway Station","N/A","Călărași",46.48748,23.88565,0
"Primaria Municipiului Călărași","Strada Ion Heliade Rădulescu Călărași","Government or Community Facility","N/A","Călărași",44.19012,27.33492,0
"Gara Călărași","Strada Victor Babeș Călărași","Railway Station","N/A","Călărași",44.19939,27.33388,0
"Primăria Călărași","DN54A 207170 Călărași","Government or Community Facility","N/A","Călărași",43.79344,24.04822,0
"Călărași","Strada 1 Decembrie 1918 Călărași","Hotel","N/A","Călărași",44.19084,27.33108,0
"Parchetul Călărași","Strada Grivița Călărași","Government or Community Facility","N/A","Călărași",44.1957,27.32724,0
"Poliția Călărași","407130 Călărași","Police Station","N/A","Călărași",46.4842,23.85385,0
"The town of Călărași;","Călărași, Romania","Attraction","N/A","Călărași",45.145262499999994,25.70987166666667,0
"Oltenița","Calarasi","City, Town or Village","N/A","Călărași",44.09601,26.63948,0
"Primăria Oltenița","Bulevardul Republicii 915400 Oltenița","Government or Community Facility","N/A","Călărași",44.08667,26.63766,0
"Gara Oltenița","Bulevardul Republicii 915400 Oltenița","Railway Station","N/A","Călărași",44.08551,26.6449,0
"Autogara Oltenița","Șoseaua Călărași 915400 Oltenița","Public Transport","N/A","Călărași",44.09682,26.64212,0
"Modern,Oltenita","Bulevardul Republicii 55 915400 Oltenița","Restaurant","N/A","Călărași",44.08617,26.64117,0
"Tribunalul Oltenița","Bulevardul Tineretului 915400 Oltenița","Government or Community Facility","N/A","Călărași",44.087008,26.63853,0
"Baza Siloz Oltenița","Intrarea Călărași 915400 Oltenița","Outdoor Area/Complex","N/A","Călărași",44.09543,26.65147,0
"Poliția Oltenița","Strada Argeșului 109-111 Oltenița","Police Station","N/A","Călărași",44.08539,26.63656,0
"Oltenia Business Center","Bulevardul Dem Rădulescu Râmnicu Vâlcea","Business & Services","N/A","Călărași",45.08692,24.36881,0
"The town of Oltenița;","Călărași, Romania","Attraction","N/A","Călărași",44.20065866666667,26.388966666666665,0
"Fishing on the Danube.","Călărași, Romania","Attraction","N/A","Călărași",0,0,0
"Sfantu Gheorghe","Strada 1 Decembrie 1918 520023 Sfântu Gheorghe","Sights & Museums","N/A","Covasna",45.86497,25.79014,0
"Gara Sfântu Gheorghe","Strada Gării 520071 Sfântu Gheorghe","Railway Station","N/A","Covasna",45.86332,25.81006,0
"City Slot Sfantu Gheorghe","520089 Sfântu Gheorghe","Going Out","N/A","Covasna",45.85773,25.79635,0
"Primăria","Strada 1 Decembrie 1918 520008 Sfântu Gheorghe","Government or Community Facility","N/A","Covasna",45.86616,25.78842,0
"City Shaworma","Strada Grof Miko Imre 520003 Sfântu Gheorghe","Food & Drink","N/A","Covasna",45.86479,25.78809,0
"Profi City","Strada Narciselor Sfântu Gheorghe","Food & Drink","N/A","Covasna",45.86223,25.79927,0
"Hărnicia","Strada Nicolae Bălcescu 520027 Sfântu Gheorghe","Shop","N/A","Covasna",45.86429,25.79243,0
"Covasna Chamber Of Commerce And Industry","520027 Sfântu Gheorghe","Business & Services","N/A","Covasna",45.86588,25.79202,0
"Art of the Samurai","Strada Nicolae Bălcescu 520027 Sfântu Gheorghe","Sport Facility/Venue","N/A","Covasna",45.8646,25.79253,0
"Consiliul Judetean Sfantu Gheorghe","Piața Libertății 520008 Sfântu Gheorghe","Government or Community Facility","N/A","Covasna",45.86676,25.78611,0
"Biserica Sfântu Gheorghe","Strada Alexandru Voievod 115100 Câmpulung","Religious Place","N/A","Covasna",45.26344,25.03749,0
"Kaufland Sfântu-Gheorghe","Strada Lunca Oltului 520036 Sfântu Gheorghe","Food & Drink","N/A","Covasna",45.86977,25.80075,0
"Sfântu Gheorghe","Strada Janos Kriza 520085 Sfântu Gheorghe","Public Transport","N/A","Covasna",45.862447,25.787266,0
"Zumba Sfantu Gheorghe","Strada Kos Karoly 520055 Sfântu Gheorghe","Educational Facility","N/A","Covasna",45.86072,25.78498,0
"China Market","Strada Tavaszy Sandor 520023 Sfântu Gheorghe","Shopping Centre","N/A","Covasna",45.86292,25.78975,0
"Prefectura Sfântu Gheorghe","Strada Gabor Aron 520008 Sfântu Gheorghe","Government or Community Facility","N/A","Covasna",45.86674,25.78587,0
"Biserica Sfântu Gheorghe","Bulevardul 15 Noiembrie 29 Brașov","Religious Place","N/A","Covasna",45.647819,25.603096,0
"Vama Sfântu Gheorghe","DN12 527166 Arcuș","Government or Community Facility","N/A","Covasna",45.88758,25.80872,0
"The city of Sfântu Gheorghe","Covasna, Romania","Attraction","N/A","Covasna",45.820120333333335,25.740741222222223,0
"The resorts in the mountains around:","Covasna, Romania","Attraction","N/A","Covasna",0,0,0
"Covasna","Romania","City, Town or Village","N/A","Covasna",45.84495,26.16916,0
"Covasna","Strada Unirii 525200 Covasna","Hotel","N/A","Covasna",45.84421,26.17472,0
"Covasna","Costuleni","Administrative Region","N/A","Covasna",47.00604,27.84491,0
"Primăria Covasna","Strada Gheorghe Doja 525200 Covasna","Government or Community Facility","N/A","Covasna",45.84459,26.16875,0
"Covasna Hm.","Strada Gara Mare 525200 Covasna","Railway Station","N/A","Covasna",45.85795,26.14698,0
"Autogara Covasna","Strada Ștefan cel Mare 525200 Covasna","Public Transport","N/A","Covasna",45.8468,26.16581,0
"Remat Covasna","Sfântu Gheorghe","Business & Services","N/A","Covasna",45.861477,25.813719,0
"Apia Covasna","Strada Locotenent Păiș David Sfântu Gheorghe","Government or Community Facility","N/A","Covasna",45.85054,25.80565,0
"Hotel Covasna","Strada 1 Decembrie 1918 1 525200 Covasna","Hotel","N/A","Covasna",45.84612,26.17037,0
"Ajofm Covasna","Bulevardul Gen. Grigore Bălan 14 Sfântu Gheorghe","Government or Community Facility","N/A","Covasna",45.868299,25.79421,0
"Hotel Montana","Strada Toth 525200 Covasna","Hotel","N/A","Covasna",45.84355,26.18177,0
"Winter Rally Covasna","Strada Livezii 3 520031 Sfântu Gheorghe","Sport Facility/Venue","N/A","Covasna",45.8597,25.7875,0
"Vinalcool Covasna","Strada Ciucului 520019 Sfântu Gheorghe","Shop","N/A","Covasna",45.87161,25.79537,0
"Dacia","Strada Unirii 525200 Covasna","Hotel","N/A","Covasna",45.84438,26.17431,0
"Inspectoratul Școlar Covasna","Strada Victor Babeș Sfântu Gheorghe","Educational Facility","N/A","Covasna",45.86596,25.78177,0
"I.T.M. Covasna","Strada Muncitorilor 520032 Sfântu Gheorghe","Government or Community Facility","N/A","Covasna",45.85592,25.78816,0
"Strada Covasna","Bucharest","Street or Square","N/A","Covasna",44.37926,26.11557,0
"Inspectoratul Școlar Județean Covasna","Strada Porumbeilor 520004 Sfântu Gheorghe","Government or Community Facility","N/A","Covasna",45.86607,25.78166,0
"Covasna","Covasna, Romania","Attraction","N/A","Covasna",45.83652366666667,26.092243833333335,0
"Băile Balvanyos","527160 Turia","Administrative Region","N/A","Covasna",46.1091,25.9591,0
"Grand Hotel Balvanyos (Balvanyos Resort)","DJ113 527160 Turia","Hotel","N/A","Covasna",46.11676,25.9423,0
"Cetatea Balvanyos","DJ113 527160 Turia","Landmark/Attraction","N/A","Covasna",46.1134,25.95977,0
"Cabana Istvana, Balvanyos","DJ113 527160 Turia","Transport","N/A","Covasna",46.108698,25.961687,0
"Gastrolab Balvanyos","DJ113 527160 Turia","Restaurant","N/A","Covasna",46.116512,25.943241,0
"Strada Balvanyos","525400 Târgu Secuiesc","Street or Square","N/A","Covasna",46.005,26.12787,0
"Vár panzió, Bálványos","DJ113 527160 Turia","Hotel","N/A","Covasna",46.038785,26.050135,0
"Bálvány utca","5900 Orosháza Hungary","Street or Square","N/A","Covasna",46.56943,20.68124,0
"Balványos","Covasna, Romania","Attraction","N/A","Covasna",46.14721062500001,25.328167875000002,0
"Malnaș-Băi","Malnaș","Administrative Region","N/A","Covasna",46.03342,25.82365,0
"Malnaş Băi","DJ122B 527118 Malnaș","Railway Station","N/A","Covasna",46.036151,25.824349,0
"Școala Primară Malnaș-Băi","DJ122B 527118 Malnaș","Educational Facility","N/A","Covasna",46.03286,25.82388,0
"Malnaș (Malnas)","Covasna","City, Town or Village","N/A","Covasna",46.0074,25.84109,0
"Malnaş h.","DN12 527117 Malnaș","Railway Station","N/A","Covasna",46.00147,25.84191,0
"Primaria Malnas","DN12 527117 Malnaș","Government or Community Facility","N/A","Covasna",46.0081,25.84087,0
"Oficiu Poștal Malnaș-Băi","DJ122B 527118 Malnaș","Post Office","N/A","Covasna",46.033,25.82382,0
"Oficiu Postal Malnas","527117 Malnaș","Post Office","N/A","Covasna",46.00872,25.84419,0
"Malnaş-Băi","Covasna, Romania","Attraction","N/A","Covasna",46.020140125,25.832969875,0
"Vâlcele","Covasna","City, Town or Village","N/A","Covasna",45.85465,25.68791,0
"Vâlcele","Olt","City, Town or Village","N/A","Covasna",44.28188,24.53895,0
"Vâlcele","Feleacu","Administrative Region","N/A","Covasna",46.67939,23.63937,0
"Vâlcelele","Calarasi","City, Town or Village","N/A","Covasna",44.39154,27.14359,0
"Halta Vâlcele","117464 Merișani","Railway Station","N/A","Covasna",45.00228,24.73124,0
"Vâlcelele","Buzau","City, Town or Village","N/A","Covasna",45.34118,27.34937,0
"Vâlcelele","Merișani","Administrative Region","N/A","Covasna",45.0001,24.70866,0
"Vâlcele","Târgu Ocna","Administrative Region","N/A","Covasna",46.30107,26.59704,0
"Vâlcele","Bretea Română","Administrative Region","N/A","Covasna",45.67098,23.04995,0
"Grădinița Vâlcele","DN13E Vâlcele","Educational Facility","N/A","Covasna",45.8532,25.68247,0
"Primăria Vâlcele","DJ653 237525 Vâlcele","Government or Community Facility","N/A","Covasna",44.28252,24.53908,0
"Vâlcele","Tismana","Administrative Region","N/A","Covasna",45.07687,22.98316,0
"Școala Generală Vâlcele","DN13E 527175 Vâlcele","Educational Facility","N/A","Covasna",45.8532,25.68248,0
"Vâlcele","Ulmeni","Administrative Region","N/A","Covasna",45.08814,26.63219,0
"Oficiu Poștal Vâlcele","DN13E 527175 Vâlcele","Post Office","N/A","Covasna",45.85371,25.68384,0
"Vâlcele","Corbasca","Administrative Region","N/A","Covasna",46.30523,27.12963,0
"Valcele","DN15 405100 Câmpia Turzii","Food & Drink","N/A","Covasna",46.54369,23.88782,0
"Vâlcele","Covasna, Romania","Attraction","N/A","Covasna",45.4929194117647,25.27451470588235,0
"Șugaș Băi","Sfântu Gheorghe","Leisure & Outdoor","N/A","Covasna",45.89674,25.70633,0
"Șugaș-Băi","Covasna, Romania","Attraction","N/A","Covasna",45.89674,25.70633,0
"Baile Fortyogo","Covasna, Romania","Attraction","N/A","Covasna",0,0,0
"Biborțeni","Baraolt","Administrative Region","N/A","Covasna",46.09374,25.65163,0
"Grădinița Biborțeni","525101 Baraolt","Educational Facility","N/A","Covasna",46.09462,25.64932,0
"Școala Generală Biborțeni","525101 Baraolt","Educational Facility","N/A","Covasna",46.09481,25.65239,0
"Strada Biborțeni","013992 Bucharest","Street or Square","N/A","Covasna",44.4899,26.09655,0
"Biserica Reformată Biborțeni","DJ122 Baraolt","Religious Place","N/A","Covasna",46.094697,25.655552,0
"Oficiu Poștal Biborțeni","DJ122 525101 Baraolt","Post Office","N/A","Covasna",46.09251,25.65846,0
"Strada Boboteni","610240 Piatra Neamt","Street or Square","N/A","Covasna",46.94812,26.39127,0
"Biborțeni","Covasna, Romania","Attraction","N/A","Covasna",45.98691385714285,25.822167428571426,0
"Ozunca-Băi","Bățani","Administrative Region","N/A","Covasna",46.09286,25.79621,0
"Baia Mare","Maramureș","City, Town or Village","N/A","Covasna",47.6572,23.56598,0
"Băile Olănești (Baile Olanesti)","Vâlcea","City, Town or Village","N/A","Covasna",45.20406,24.24166,0
"Baia de Fier","Gorj","City, Town or Village","N/A","Covasna",45.17151,23.7626,0
"Băicoi (Baicoi)","Prahova","City, Town or Village","N/A","Covasna",45.03372,25.87017,0
"Băișoara (Baisoara)","Cluj","City, Town or Village","N/A","Covasna",46.57723,23.466,0
"Băile Govora (Baile Govora)","Vâlcea","City, Town or Village","N/A","Covasna",45.08295,24.17083,0
"Băile Tușnad (Baile Tusnad)","Harghita","City, Town or Village","N/A","Covasna",46.14142,25.85778,0
"Harghita-Băi (Harghita-Bai)","Miercurea Ciuc","Administrative Region","N/A","Covasna",46.38488,25.63778,0
"Geoagiu-Băi (Geoagiu-Bai)","Geoagiu","Administrative Region","N/A","Covasna",45.93412,23.16795,0
"Băile Herculane (Baile Herculane)","Caraș-Severin","City, Town or Village","N/A","Covasna",44.86489,22.40683,0
"Ozunca-Bai","Covasna, Romania","Attraction","N/A","Covasna",45.83134909090909,24.35852636363636,0
"Bucegi Mountains","137310 Moroeni","Recreation","N/A","Covasna",45.40832,25.4703,0
"Retezat Mountains","DJ685 337382 Râu de Mori","Recreation","N/A","Covasna",45.497567,22.825877,0
"Pensiunea Cold Mountains","Strada Mihai Eminescu 505400 Râșnov","Accommodation","N/A","Covasna",45.58135,25.45855,0
"Mountain Paradise","Strada Principală 117040 Arefu","Accommodation","N/A","Covasna",45.326889,24.602082,0
"Pensiunea Mountain King","507267 Sâmbăta de Sus","Accommodation","N/A","Covasna",45.6953,24.80452,0
"Pensiunea Mountain King","507267 Sâmbăta de Sus","Hostel","N/A","Covasna",45.694148,24.801241,0
"The mountains:","Covasna, Romania","Attraction","N/A","Covasna",45.533929,24.660428333333332,0
"Baraolt Mountains","Covasna, Romania","Attraction","N/A","Covasna",0,0,0
"Bodoc Mountains","Covasna, Romania","Attraction","N/A","Covasna",0,0,0
"Nemira Mountains","Covasna, Romania","Attraction","N/A","Covasna",0,0,0
"Întorsurii Mountains","Covasna, Romania","Attraction","N/A","Covasna",0,0,0
"The city of Târgoviște – the ancient capital of Muntenia.","Dâmbovița, Romania","Attraction","N/A","Dâmbovița",0,0,0
"The Pucioasa Resort.","Dâmbovița, Romania","Attraction","N/A","Dâmbovița",0,0,0
"The Ialomița River Valley – Peștera Ialomicioarei.","Dâmbovița, Romania","Attraction","N/A","Dâmbovița",0,0,0
"City Bar & Lounge Craiova","Strada Alexandru Ioan Cuza Craiova","Going Out","N/A","Dolj",44.317617,23.811945,0
"Craiova, Craiova (Autogara Pelendava Nord)","Bulevardul Decebal Craiova","Public Transport","N/A","Dolj",44.32729,23.81868,0
"Primăria Municipiului Craiova","Strada Alexandru Ioan Cuza 200585 Craiova","Government or Community Facility","N/A","Dolj",44.31853,23.7966,0
"Universitatea din Craiova","Strada Alexandru Ioan Cuza 13 200585 Craiova","Educational Facility","N/A","Dolj",44.31843,23.80064,0
"Gara Craiova","Craiova","Railway Station","N/A","Dolj",44.32848,23.81632,0
"Curtea de Apel Craiova","Strada Constantin Brâncuși 200136 Craiova","Government or Community Facility","N/A","Dolj",44.32372,23.79353,0
"Judecătoria Craiova","Strada Alexandru Ioan Cuza Craiova","Government or Community Facility","N/A","Dolj",44.31796,23.80292,0
"The city of Craiova;","Dolj, Romania","Attraction","N/A","Dolj",44.321718142857144,23.805805,0
"Calafat","Strada Al. I. Cuza 205200 Calafat","Railway Station","N/A","Dolj",43.99389,22.92523,0
"Autogara Calafat","Bulevardul Horia Cloșca și Crișan 205200 Calafat","Public Transport","N/A","Dolj",43.99032,22.94179,0
"The city of Calafat;","Dolj, Romania","Attraction","N/A","Dolj",43.992104999999995,22.93351,0
"Fishing on the Danube;","Dolj, Romania","Attraction","N/A","Dolj",0,0,0
"Primăria Băilești","Strada Revoltei 205100 Băilești","Government or Community Facility","N/A","Dolj",44.01966,23.3444,0
"Poliția Băilești","Strada Victoriei 205100 Băilești","Police Station","N/A","Dolj",44.01879,23.34266,0
